CHROM,POS,src,TYPE,start,stop,ID,POSITION
1,568946,Willing et al 2016,SBS,568946,568946,33,568946
1,579276,Willing et al 2016,SBS,579276,579276,34,579276
1,582530,Monroe et al 2022 (EU lines),SBS,582530,582530,35,582530
1,600724,Monroe et al 2022 (EU lines),SBS,600724,600724,36,600724
1,604219,Yang et al 2015,INDEL,604219,604219,37,604219
1,635205,Monroe et al 2022 (EU lines),SBS,635205,635205,38,635205
1,648035,Lu et al 2021,SBS,648035,648035,39,648035
1,684941,Weng et al 2019,SBS,684941,684941,40,684941
1,694908,Zhu et al 2021,SBS,694908,694908,41,694908
1,752141,Lu et al 2021,SBS,752141,752141,42,752141
1,768172,Monroe et al 2022 (EU lines),INDEL,768172,768172,43,768172
1,769028,Monroe et al 2022 (EU lines),SBS,769028,769028,44,769028
1,785356,Willing et al 2016,SBS,785356,785356,45,785356
1,791896,Weng et al 2019,SBS,791896,791896,46,791896
1,820950,Weng et al 2019,SBS,820950,820950,47,820950
1,821299,Monroe et al 2022 (EU lines),SBS,821299,821299,48,821299
1,822095,Zhu et al 2021,SBS,822095,822095,49,822095
1,822679,Monroe et al 2022 (EU lines),INDEL,822679,822679,50,822679
1,822679,Monroe et al 2022 (EU lines),INDEL,822679,822679,51,822679
1,836641,Weng et al 2019,SBS,836641,836641,52,836641
1,857722,Willing et al 2016,SBS,857722,857722,53,857722
1,880136,Weng et al 2019,SBS,880136,880136,54,880136
1,910737,Monroe et al 2022 (EU lines),SBS,910737,910737,55,910737
1,936307,Ossowski et al 2010,SBS,936307,936307,56,936307
1,936308,Weng et al 2019,SBS,936308,936308,57,936308
1,950080,Willing et al 2016,SBS,950080,950080,58,950080
1,950081,Willing et al 2016,SBS,950081,950081,59,950081
1,965095,Willing et al 2016,SBS,965095,965095,60,965095
1,975707,Willing et al 2016,SBS,975707,975707,61,975707
1,982036,Willing et al 2016,SBS,982036,982036,62,982036
1,983093,Monroe et al 2022 (EU lines),SBS,983093,983093,63,983093
1,1009795,Monroe et al 2022 (EU lines),SBS,1009795,1009795,64,1009795
1,1010141,Jiang et al 2011,SBS,1010141,1010141,65,1010141
1,1026530,Willing et al 2016,SBS,1026530,1026530,66,1026530
1,1029075,Monroe et al 2022 (EU lines),SBS,1029075,1029075,67,1029075
1,1032886,Monroe et al 2022 (EU lines),SBS,1032886,1032886,68,1032886
1,1093319,Monroe et al 2022 (EU lines),SBS,1093319,1093319,69,1093319
1,1108002,Zhu et al 2021,SBS,1108002,1108002,70,1108002
1,1108002,Zhu et al 2021,SBS,1108002,1108002,71,1108002
1,1108002,Zhu et al 2021,SBS,1108002,1108002,72,1108002
1,1114117,Willing et al 2016,SBS,1114117,1114117,73,1114117
1,1138505,Monroe et al 2022 (EU lines),SBS,1138505,1138505,74,1138505
1,1143030,Willing et al 2016,SBS,1143030,1143030,75,1143030
1,1189645,Willing et al 2016,SBS,1189645,1189645,76,1189645
1,1194137,Monroe et al 2022 (EU lines),INDEL,1194137,1194137,77,1194137
1,1194324,Jiang et al 2011,SBS,1194324,1194324,78,1194324
1,1218550,Willing et al 2016,SBS,1218550,1218550,79,1218550
1,1231720,Willing et al 2016,SBS,1231720,1231720,80,1231720
1,1246298,Monroe et al 2022 (EU lines),INDEL,1246298,1246298,81,1246298
1,1276138,Weng et al 2019,INDEL,1276138,1276138,82,1276138
1,1277913,Willing et al 2016,SBS,1277913,1277913,83,1277913
1,1287109,Monroe et al 2022 (EU lines),INDEL,1287109,1287109,84,1287109
1,1288807,Monroe et al 2022 (EU lines),INDEL,1288807,1288807,85,1288807
1,1289049,Monroe et al 2022 (EU lines),SBS,1289049,1289049,86,1289049
1,1293802,Zhu et al 2021,INDEL,1293802,1293802,87,1293802
1,1293802,Zhu et al 2021,INDEL,1293802,1293802,88,1293802
1,1293802,Zhu et al 2021,INDEL,1293802,1293802,89,1293802
1,1308275,Yang et al 2015,INDEL,1308275,1308275,90,1308275
1,1310170,Monroe et al 2022 (EU lines),SBS,1310170,1310170,91,1310170
1,1310262,Weng et al 2019,SBS,1310262,1310262,92,1310262
1,1337102,Zhu et al 2021,SBS,1337102,1337102,93,1337102
1,1345006,Willing et al 2016,SBS,1345006,1345006,94,1345006
1,1374963,Jiang et al 2011,SBS,1374963,1374963,95,1374963
1,1419293,Weng et al 2019,SBS,1419293,1419293,96,1419293
1,1423457,Willing et al 2016,SBS,1423457,1423457,97,1423457
1,1424359,Monroe et al 2022 (EU lines),SBS,1424359,1424359,98,1424359
1,1430974,Willing et al 2016,SBS,1430974,1430974,99,1430974
1,1444934,Willing et al 2016,SBS,1444934,1444934,100,1444934
1,1468806,Ossowski et al 2010,SBS,1468806,1468806,101,1468806
1,1468807,Weng et al 2019,SBS,1468807,1468807,102,1468807
1,1494758,Monroe et al 2022 (EU lines),SBS,1494758,1494758,103,1494758
1,1503898,Willing et al 2016,SBS,1503898,1503898,104,1503898
1,1542048,Weng et al 2019,SBS,1542048,1542048,105,1542048
1,1543561,Monroe et al 2022 (EU lines),SBS,1543561,1543561,106,1543561
1,1560460,Lu et al 2021,SBS,1560460,1560460,107,1560460
1,1576361,Lu et al 2021,SBS,1576361,1576361,108,1576361
1,1592311,Lu et al 2021,SBS,1592311,1592311,109,1592311
1,1598319,Jiang et al 2011,SBS,1598319,1598319,110,1598319
1,1601111,Weng et al 2019,SBS,1601111,1601111,111,1601111
1,1619017,Weng et al 2019,SBS,1619017,1619017,112,1619017
1,1647286,Jiang et al 2011,SBS,1647286,1647286,113,1647286
1,1706397,Weng et al 2019,SBS,1706397,1706397,114,1706397
1,1719714,Weng et al 2019,SBS,1719714,1719714,115,1719714
1,1749610,Willing et al 2016,SBS,1749610,1749610,116,1749610
1,1751750,Monroe et al 2022 (EU lines),SBS,1751750,1751750,117,1751750
1,1790103,Monroe et al 2022 (EU lines),SBS,1790103,1790103,118,1790103
1,1794263,Monroe et al 2022 (EU lines),SBS,1794263,1794263,119,1794263
1,1823414,Monroe et al 2022 (EU lines),SBS,1823414,1823414,120,1823414
1,1823417,Monroe et al 2022 (EU lines),INDEL,1823417,1823417,121,1823417
1,1856619,Zhu et al 2021,SBS,1856619,1856619,122,1856619
1,1867573,Monroe et al 2022 (EU lines),SBS,1867573,1867573,123,1867573
1,1906379,Monroe et al 2022 (EU lines),INDEL,1906379,1906379,124,1906379
1,1933382,Lu et al 2021,INDEL,1933382,1933382,125,1933382
1,1956144,Monroe et al 2022 (EU lines),SBS,1956144,1956144,126,1956144
1,1972314,Jiang et al 2014,INDEL,1972314,1972314,127,1972314
1,2000342,Weng et al 2019,SBS,2000342,2000342,128,2000342
1,2024242,Weng et al 2019,SBS,2024242,2024242,129,2024242
1,2031702,Monroe et al 2022 (EU lines),INDEL,2031702,2031702,130,2031702
1,2050694,Monroe et al 2022 (EU lines),SBS,2050694,2050694,131,2050694
1,2074215,Yang et al 2015,INDEL,2074215,2074215,132,2074215
1,2083631,Weng et al 2019,SBS,2083631,2083631,133,2083631
1,2084246,Zhu et al 2021,SBS,2084246,2084246,134,2084246
1,2084246,Zhu et al 2021,SBS,2084246,2084246,135,2084246
1,2084246,Zhu et al 2021,SBS,2084246,2084246,136,2084246
1,2125058,Willing et al 2016,SBS,2125058,2125058,137,2125058
1,2195192,Weng et al 2019,SBS,2195192,2195192,138,2195192
1,2207498,Monroe et al 2022 (EU lines),INDEL,2207498,2207498,139,2207498
1,2236379,Jiang et al 2014,INDEL,2236379,2236379,140,2236379
1,2299707,Willing et al 2016,SBS,2299707,2299707,141,2299707
1,2314380,Willing et al 2016,SBS,2314380,2314380,142,2314380
1,2342824,Zhu et al 2021,SBS,2342824,2342824,143,2342824
1,2342824,Zhu et al 2021,SBS,2342824,2342824,144,2342824
1,2368825,Monroe et al 2022 (EU lines),INDEL,2368825,2368825,145,2368825
1,2394372,Zhu et al 2021,SBS,2394372,2394372,146,2394372
1,2394372,Zhu et al 2021,SBS,2394372,2394372,147,2394372
1,2394372,Zhu et al 2021,SBS,2394372,2394372,148,2394372
1,2394372,Zhu et al 2021,SBS,2394372,2394372,149,2394372
1,2401798,Willing et al 2016,SBS,2401798,2401798,150,2401798
1,2415245,Weng et al 2019,SBS,2415245,2415245,151,2415245
1,2429600,Willing et al 2016,SBS,2429600,2429600,152,2429600
1,2441583,Weng et al 2019,SBS,2441583,2441583,153,2441583
1,2452718,Zhu et al 2021,SBS,2452718,2452718,154,2452718
1,2452718,Zhu et al 2021,SBS,2452718,2452718,155,2452718
1,2452718,Zhu et al 2021,SBS,2452718,2452718,156,2452718
1,2452718,Zhu et al 2021,SBS,2452718,2452718,157,2452718
1,2477678,Monroe et al 2022 (EU lines),SBS,2477678,2477678,158,2477678
1,2481570,Lu et al 2021,SBS,2481570,2481570,159,2481570
1,2493679,Monroe et al 2022 (EU lines),SBS,2493679,2493679,160,2493679
1,2507426,Yang et al 2015,SBS,2507426,2507426,161,2507426
1,2513752,Willing et al 2016,SBS,2513752,2513752,162,2513752
1,2520752,Weng et al 2019,INDEL,2520752,2520752,163,2520752
1,2541589,Yang et al 2015,SBS,2541589,2541589,164,2541589
1,2552426,Willing et al 2016,SBS,2552426,2552426,165,2552426
1,2573216,Monroe et al 2022 (EU lines),SBS,2573216,2573216,166,2573216
1,2593620,Willing et al 2016,SBS,2593620,2593620,167,2593620
1,2616418,Monroe et al 2022 (EU lines),SBS,2616418,2616418,168,2616418
1,2637361,Willing et al 2016,SBS,2637361,2637361,169,2637361
1,2649477,Zhu et al 2021,SBS,2649477,2649477,170,2649477
1,2649477,Zhu et al 2021,SBS,2649477,2649477,171,2649477
1,2649477,Zhu et al 2021,SBS,2649477,2649477,172,2649477
1,2657677,Weng et al 2019,SBS,2657677,2657677,173,2657677
1,2665555,Monroe et al 2022 (EU lines),INDEL,2665555,2665555,174,2665555
1,2735967,Willing et al 2016,SBS,2735967,2735967,175,2735967
1,2841386,Zhu et al 2021,INDEL,2841386,2841386,176,2841386
1,2856932,Willing et al 2016,SBS,2856932,2856932,177,2856932
1,2888760,Weng et al 2019,SBS,2888760,2888760,178,2888760
1,2923924,Weng et al 2019,SBS,2923924,2923924,179,2923924
1,2993791,Weng et al 2019,SBS,2993791,2993791,180,2993791
1,3050624,Monroe et al 2022 (EU lines),SBS,3050624,3050624,181,3050624
1,3069072,Zhu et al 2021,SBS,3069072,3069072,182,3069072
1,3074893,Weng et al 2019,INDEL,3074893,3074893,183,3074893
1,3101019,Weng et al 2019,SBS,3101019,3101019,184,3101019
1,3112186,Monroe et al 2022 (EU lines),SBS,3112186,3112186,185,3112186
1,3132344,Monroe et al 2022 (EU lines),SBS,3132344,3132344,186,3132344
1,3202582,Willing et al 2016,INDEL,3202582,3202582,187,3202582
1,3240839,Willing et al 2016,SBS,3240839,3240839,188,3240839
1,3274423,Weng et al 2019,SBS,3274423,3274423,189,3274423
1,3323483,Monroe et al 2022 (EU lines),INDEL,3323483,3323483,190,3323483
1,3328157,Willing et al 2016,SBS,3328157,3328157,191,3328157
1,3348744,Jiang et al 2011,SBS,3348744,3348744,192,3348744
1,3353765,Monroe et al 2022 (EU lines),INDEL,3353765,3353765,193,3353765
1,3370401,Monroe et al 2022 (EU lines),INDEL,3370401,3370401,194,3370401
1,3381213,Belfield et al 2021,INDEL,3381213,3381213,195,3381213
1,3381398,Willing et al 2016,SBS,3381398,3381398,196,3381398
1,3403478,Willing et al 2016,SBS,3403478,3403478,197,3403478
1,3420110,Weng et al 2019,SBS,3420110,3420110,198,3420110
1,3428045,Zhu et al 2021,INDEL,3428045,3428045,199,3428045
1,3431152,Willing et al 2016,SBS,3431152,3431152,200,3431152
1,3460171,Monroe et al 2022 (EU lines),SBS,3460171,3460171,201,3460171
1,3477106,Weng et al 2019,INDEL,3477106,3477106,202,3477106
1,3498959,Monroe et al 2022 (EU lines),INDEL,3498959,3498959,203,3498959
1,3547005,Weng et al 2019,SBS,3547005,3547005,204,3547005
1,3556077,Willing et al 2016,SBS,3556077,3556077,205,3556077
1,3558712,Jiang et al 2011,INDEL,3558712,3558712,206,3558712
1,3577202,Willing et al 2016,SBS,3577202,3577202,207,3577202
1,3661391,Yang et al 2015,INDEL,3661391,3661391,208,3661391
1,3669601,Willing et al 2016,SBS,3669601,3669601,209,3669601
1,3721456,Monroe et al 2022 (EU lines),INDEL,3721456,3721456,210,3721456
1,3731929,Willing et al 2016,SBS,3731929,3731929,211,3731929
1,3744563,Willing et al 2016,SBS,3744563,3744563,212,3744563
1,3776138,Lu et al 2021,SBS,3776138,3776138,213,3776138
1,3804548,Monroe et al 2022 (EU lines),INDEL,3804548,3804548,214,3804548
1,3828635,Monroe et al 2022 (EU lines),INDEL,3828635,3828635,215,3828635
1,3828635,Monroe et al 2022 (EU lines),INDEL,3828635,3828635,216,3828635
1,3847211,Lu et al 2021,SBS,3847211,3847211,217,3847211
1,3849435,Willing et al 2016,SBS,3849435,3849435,218,3849435
1,3940898,Monroe et al 2022 (EU lines),SBS,3940898,3940898,219,3940898
1,3975532,Belfield et al 2021,INDEL,3975532,3975532,220,3975532
1,3984434,Monroe et al 2022 (EU lines),INDEL,3984434,3984434,221,3984434
1,4018764,Willing et al 2016,SBS,4018764,4018764,222,4018764
1,4028593,Weng et al 2019,SBS,4028593,4028593,223,4028593
1,4071353,Zhu et al 2021,SBS,4071353,4071353,224,4071353
1,4071353,Zhu et al 2021,SBS,4071353,4071353,225,4071353
1,4076288,Belfield et al 2021,INDEL,4076288,4076288,226,4076288
1,4078346,Willing et al 2016,SBS,4078346,4078346,227,4078346
1,4079864,Monroe et al 2022 (EU lines),INDEL,4079864,4079864,228,4079864
1,4084437,Willing et al 2016,SBS,4084437,4084437,229,4084437
1,4087897,Willing et al 2016,SBS,4087897,4087897,230,4087897
1,4097380,Weng et al 2019,SBS,4097380,4097380,231,4097380
1,4118363,Willing et al 2016,SBS,4118363,4118363,232,4118363
1,4129794,Monroe et al 2022 (EU lines),SBS,4129794,4129794,233,4129794
1,4162845,Monroe et al 2022 (EU lines),SBS,4162845,4162845,234,4162845
1,4171620,Monroe et al 2022 (EU lines),SBS,4171620,4171620,235,4171620
1,4209635,Weng et al 2019,SBS,4209635,4209635,236,4209635
1,4212550,Monroe et al 2022 (EU lines),SBS,4212550,4212550,237,4212550
1,4266051,Zhu et al 2021,SBS,4266051,4266051,238,4266051
1,4274094,Monroe et al 2022 (EU lines),INDEL,4274094,4274094,239,4274094
1,4274097,Monroe et al 2022 (EU lines),SBS,4274097,4274097,240,4274097
1,4299919,Lu et al 2021,SBS,4299919,4299919,241,4299919
1,4310484,Weng et al 2019,INDEL,4310484,4310484,242,4310484
1,4329227,Weng et al 2019,INDEL,4329227,4329227,243,4329227
1,4330642,Willing et al 2016,SBS,4330642,4330642,244,4330642
1,4339809,Monroe et al 2022 (EU lines),INDEL,4339809,4339809,245,4339809
1,4356929,Zhu et al 2021,SBS,4356929,4356929,246,4356929
1,4360741,Willing et al 2016,SBS,4360741,4360741,247,4360741
1,4364132,Weng et al 2019,SBS,4364132,4364132,248,4364132
1,4393954,Monroe et al 2022 (EU lines),SBS,4393954,4393954,249,4393954
1,4404672,Yang et al 2015,SBS,4404672,4404672,250,4404672
1,4409590,Willing et al 2016,SBS,4409590,4409590,251,4409590
1,4413898,Monroe et al 2022 (EU lines),INDEL,4413898,4413898,252,4413898
1,4442496,Monroe et al 2022 (EU lines),SBS,4442496,4442496,253,4442496
1,4450911,Ossowski et al 2010,SBS,4450911,4450911,254,4450911
1,4450913,Weng et al 2019,SBS,4450913,4450913,255,4450913
1,4527246,Weng et al 2019,SBS,4527246,4527246,256,4527246
1,4529687,Monroe et al 2022 (EU lines),SBS,4529687,4529687,257,4529687
1,4530222,Willing et al 2016,SBS,4530222,4530222,258,4530222
1,4545218,Yang et al 2015,SBS,4545218,4545218,259,4545218
1,4561760,Weng et al 2019,SBS,4561760,4561760,260,4561760
1,4578746,Monroe et al 2022 (EU lines),SBS,4578746,4578746,261,4578746
1,4611585,Willing et al 2016,SBS,4611585,4611585,262,4611585
1,4635886,Yang et al 2015,SBS,4635886,4635886,263,4635886
1,4643982,Monroe et al 2022 (EU lines),SBS,4643982,4643982,264,4643982
1,4652496,Willing et al 2016,SBS,4652496,4652496,265,4652496
1,4697904,Willing et al 2016,SBS,4697904,4697904,266,4697904
1,4708347,Monroe et al 2022 (EU lines),SBS,4708347,4708347,267,4708347
1,4710643,Zhu et al 2021,SBS,4710643,4710643,268,4710643
1,4732211,Monroe et al 2022 (EU lines),SBS,4732211,4732211,269,4732211
1,4752635,Weng et al 2019,SBS,4752635,4752635,270,4752635
1,4757297,Zhu et al 2021,SBS,4757297,4757297,271,4757297
1,4803341,Willing et al 2016,SBS,4803341,4803341,272,4803341
1,4819940,Willing et al 2016,SBS,4819940,4819940,273,4819940
1,4852600,Willing et al 2016,SBS,4852600,4852600,274,4852600
1,4869464,Willing et al 2016,SBS,4869464,4869464,275,4869464
1,4884880,Weng et al 2019,SBS,4884880,4884880,276,4884880
1,4926306,Willing et al 2016,SBS,4926306,4926306,277,4926306
1,4940843,Monroe et al 2022 (EU lines),INDEL,4940843,4940843,278,4940843
1,4954007,Weng et al 2019,SBS,4954007,4954007,279,4954007
1,4989528,Weng et al 2019,INDEL,4989528,4989528,280,4989528
1,4996305,Willing et al 2016,SBS,4996305,4996305,281,4996305
1,5010019,Weng et al 2019,SBS,5010019,5010019,282,5010019
1,5047318,Zhu et al 2021,SBS,5047318,5047318,283,5047318
1,5047318,Zhu et al 2021,SBS,5047318,5047318,284,5047318
1,5047318,Zhu et al 2021,SBS,5047318,5047318,285,5047318
1,5048236,Monroe et al 2022 (EU lines),SBS,5048236,5048236,286,5048236
1,5073465,Zhu et al 2021,INDEL,5073465,5073465,287,5073465
1,5078486,Monroe et al 2022 (EU lines),INDEL,5078486,5078486,288,5078486
1,5087136,Yang et al 2015,SBS,5087136,5087136,289,5087136
1,5090615,Zhu et al 2021,INDEL,5090615,5090615,290,5090615
1,5090615,Zhu et al 2021,INDEL,5090615,5090615,291,5090615
1,5104508,Willing et al 2016,SBS,5104508,5104508,292,5104508
1,5116831,Weng et al 2019,SBS,5116831,5116831,293,5116831
1,5127514,Monroe et al 2022 (EU lines),SBS,5127514,5127514,294,5127514
1,5172057,Yang et al 2015,SBS,5172057,5172057,295,5172057
1,5177141,Monroe et al 2022 (EU lines),INDEL,5177141,5177141,296,5177141
1,5190130,Monroe et al 2022 (EU lines),INDEL,5190130,5190130,297,5190130
1,5191037,Willing et al 2016,SBS,5191037,5191037,298,5191037
1,5199535,Willing et al 2016,SBS,5199535,5199535,299,5199535
1,5215909,Willing et al 2016,SBS,5215909,5215909,300,5215909
1,5224067,Weng et al 2019,SBS,5224067,5224067,301,5224067
1,5273151,Willing et al 2016,SBS,5273151,5273151,302,5273151
1,5277948,Lu et al 2021,SBS,5277948,5277948,303,5277948
1,5295020,Weng et al 2019,INDEL,5295020,5295020,304,5295020
1,5298060,Zhu et al 2021,SBS,5298060,5298060,305,5298060
1,5312448,Monroe et al 2022 (EU lines),INDEL,5312448,5312448,306,5312448
1,5348812,Monroe et al 2022 (EU lines),SBS,5348812,5348812,307,5348812
1,5349493,Monroe et al 2022 (EU lines),SBS,5349493,5349493,308,5349493
1,5349495,Monroe et al 2022 (EU lines),SBS,5349495,5349495,309,5349495
1,5349496,Monroe et al 2022 (EU lines),SBS,5349496,5349496,310,5349496
1,5353791,Jiang et al 2014,SBS,5353791,5353791,311,5353791
1,5356331,Willing et al 2016,SBS,5356331,5356331,312,5356331
1,5393436,Zhu et al 2021,SBS,5393436,5393436,313,5393436
1,5398550,Monroe et al 2022 (EU lines),SBS,5398550,5398550,314,5398550
1,5399837,Monroe et al 2022 (EU lines),SBS,5399837,5399837,315,5399837
1,5408168,Weng et al 2019,SBS,5408168,5408168,316,5408168
1,5411687,Monroe et al 2022 (EU lines),SBS,5411687,5411687,317,5411687
1,5422164,Yang et al 2015,INDEL,5422164,5422164,318,5422164
1,5444024,Zhu et al 2021,SBS,5444024,5444024,319,5444024
1,5449196,Monroe et al 2022 (EU lines),INDEL,5449196,5449196,320,5449196
1,5474794,Willing et al 2016,SBS,5474794,5474794,321,5474794
1,5491150,Monroe et al 2022 (EU lines),SBS,5491150,5491150,322,5491150
1,5498509,Monroe et al 2022 (EU lines),INDEL,5498509,5498509,323,5498509
1,5499962,Lu et al 2021,SBS,5499962,5499962,324,5499962
1,5516506,Yang et al 2015,SBS,5516506,5516506,325,5516506
1,5525166,Monroe et al 2022 (EU lines),INDEL,5525166,5525166,326,5525166
1,5534043,Willing et al 2016,SBS,5534043,5534043,327,5534043
1,5634757,Monroe et al 2022 (EU lines),INDEL,5634757,5634757,328,5634757
1,5634759,Monroe et al 2022 (EU lines),SBS,5634759,5634759,329,5634759
1,5634759,Monroe et al 2022 (EU lines),SBS,5634759,5634759,330,5634759
1,5640410,Willing et al 2016,SBS,5640410,5640410,331,5640410
1,5655371,Yang et al 2015,SBS,5655371,5655371,332,5655371
1,5657400,Monroe et al 2022 (EU lines),SBS,5657400,5657400,333,5657400
1,5686070,Willing et al 2016,SBS,5686070,5686070,334,5686070
1,5734217,Monroe et al 2022 (EU lines),INDEL,5734217,5734217,335,5734217
1,5757543,Weng et al 2019,SBS,5757543,5757543,336,5757543
1,5759844,Belfield et al 2021,SBS,5759844,5759844,337,5759844
1,5784906,Monroe et al 2022 (EU lines),INDEL,5784906,5784906,338,5784906
1,5784910,Monroe et al 2022 (EU lines),INDEL,5784910,5784910,339,5784910
1,5841059,Lu et al 2021,SBS,5841059,5841059,340,5841059
1,5843721,Monroe et al 2022 (EU lines),INDEL,5843721,5843721,341,5843721
1,5854013,Monroe et al 2022 (EU lines),INDEL,5854013,5854013,342,5854013
1,5854018,Monroe et al 2022 (EU lines),INDEL,5854018,5854018,343,5854018
1,5864048,Willing et al 2016,SBS,5864048,5864048,344,5864048
1,5901902,Willing et al 2016,SBS,5901902,5901902,345,5901902
1,5911729,Willing et al 2016,SBS,5911729,5911729,346,5911729
1,5928465,Willing et al 2016,SBS,5928465,5928465,347,5928465
1,5956761,Willing et al 2016,SBS,5956761,5956761,348,5956761
1,5966243,Yang et al 2015,SBS,5966243,5966243,349,5966243
1,5966526,Monroe et al 2022 (EU lines),SBS,5966526,5966526,350,5966526
1,5967444,Zhu et al 2021,SBS,5967444,5967444,351,5967444
1,5970757,Belfield et al 2021,SBS,5970757,5970757,352,5970757
1,6042853,Weng et al 2019,SBS,6042853,6042853,353,6042853
1,6058500,Willing et al 2016,SBS,6058500,6058500,354,6058500
1,6059980,Zhu et al 2021,SBS,6059980,6059980,355,6059980
1,6067637,Monroe et al 2022 (EU lines),SBS,6067637,6067637,356,6067637
1,6075666,Monroe et al 2022 (EU lines),INDEL,6075666,6075666,357,6075666
1,6077920,Willing et al 2016,SBS,6077920,6077920,358,6077920
1,6095816,Willing et al 2016,SBS,6095816,6095816,359,6095816
1,6100870,Yang et al 2015,SBS,6100870,6100870,360,6100870
1,6140622,Jiang et al 2014,SBS,6140622,6140622,361,6140622
1,6144774,Weng et al 2019,SBS,6144774,6144774,362,6144774
1,6159370,Monroe et al 2022 (EU lines),INDEL,6159370,6159370,363,6159370
1,6159377,Monroe et al 2022 (EU lines),INDEL,6159377,6159377,364,6159377
1,6159392,Monroe et al 2022 (EU lines),SBS,6159392,6159392,365,6159392
1,6181083,Weng et al 2019,SBS,6181083,6181083,366,6181083
1,6214476,Willing et al 2016,SBS,6214476,6214476,367,6214476
1,6232482,Willing et al 2016,SBS,6232482,6232482,368,6232482
1,6236777,Willing et al 2016,INDEL,6236777,6236777,369,6236777
1,6236779,Willing et al 2016,SBS,6236779,6236779,370,6236779
1,6238010,Monroe et al 2022 (EU lines),INDEL,6238010,6238010,371,6238010
1,6261819,Yang et al 2015,INDEL,6261819,6261819,372,6261819
1,6264966,Monroe et al 2022 (EU lines),INDEL,6264966,6264966,373,6264966
1,6266098,Weng et al 2019,SBS,6266098,6266098,374,6266098
1,6292935,Willing et al 2016,SBS,6292935,6292935,375,6292935
1,6297848,Weng et al 2019,SBS,6297848,6297848,376,6297848
1,6298491,Willing et al 2016,SBS,6298491,6298491,377,6298491
1,6308690,Monroe et al 2022 (EU lines),SBS,6308690,6308690,378,6308690
1,6334809,Zhu et al 2021,INDEL,6334809,6334809,379,6334809
1,6382122,Weng et al 2019,SBS,6382122,6382122,380,6382122
1,6398548,Willing et al 2016,SBS,6398548,6398548,381,6398548
1,6492925,Monroe et al 2022 (EU lines),SBS,6492925,6492925,382,6492925
1,6507610,Monroe et al 2022 (EU lines),SBS,6507610,6507610,383,6507610
1,6512154,Belfield et al 2021,INDEL,6512154,6512154,384,6512154
1,6536748,Willing et al 2016,SBS,6536748,6536748,385,6536748
1,6538500,Weng et al 2019,SBS,6538500,6538500,386,6538500
1,6540239,Willing et al 2016,SBS,6540239,6540239,387,6540239
1,6549970,Monroe et al 2022 (EU lines),SBS,6549970,6549970,388,6549970
1,6565702,Yang et al 2015,SBS,6565702,6565702,389,6565702
1,6621945,Willing et al 2016,SBS,6621945,6621945,390,6621945
1,6640288,Monroe et al 2022 (EU lines),SBS,6640288,6640288,391,6640288
1,6677325,Lu et al 2021,INDEL,6677325,6677325,392,6677325
1,6695146,Yang et al 2015,INDEL,6695146,6695146,393,6695146
1,6705856,Willing et al 2016,SBS,6705856,6705856,394,6705856
1,6709544,Willing et al 2016,SBS,6709544,6709544,395,6709544
1,6710817,Weng et al 2019,INDEL,6710817,6710817,396,6710817
1,6720282,Weng et al 2019,SBS,6720282,6720282,397,6720282
1,6734196,Zhu et al 2021,INDEL,6734196,6734196,398,6734196
1,6738709,Zhu et al 2021,SBS,6738709,6738709,399,6738709
